id	filename	md5	size	state
8923b82e-d30a-412e-a4a3-396b5d537cb8	6dd4e6c6-db0c-47be-ab00-883418a57f67_gdc_realn_rehead.bam	a9501077e013a77bf0bc835592a12d68	8970691997	released
6301082a-5c6b-4a49-bd90-27a2af94daf4	205f838b-5ff5-4afd-af8b-170ab331a6e0_gdc_realn_rehead.bam	86b0943a5d4088b7a449f38eca974256	6583674802	released
76548877-3d76-4209-8c02-dbc5a3ae8e7b	a0f39d3d-bf2f-4e4e-82c7-b6bdb45ee0d4_gdc_realn_rehead.bam	12332ba555ebfcb8fba66e867dd5757d	6463940994	released
f2b1a742-d79d-4bda-beb0-9cff1084ca96	4c20ae1d-ad19-4424-a62b-622c4fbf4397_gdc_realn_rehead.bam	0fd7d5f789e0b09f1854b87f5b906fb4	8685269641	released
b5d2ec6c-b3ec-4ace-b0c9-00d4e75c2367	6ff61549-59da-468e-8ec3-a48bb246343e_gdc_realn_rehead.bam	ac4f238d1e171aa39403edfd76fef04e	8060179568	released
4bef62b4-0d16-40f5-a849-b9dbe9165a9a	10329ee7-b763-4286-99ff-b61469d8593e_gdc_realn_rehead.bam	61ae4393f58b6059a395fdf779e746d0	6571980409	released
f22fabe3-0625-4a92-a7e6-c2916b83fac9	852a326d-d81f-43df-96d5-256db17f13a4_gdc_realn_rehead.bam	c3e08424f4573b9f6abc55b63dca65af	4580863756	released
69ad726f-f64b-4f67-b29a-fa78a99f95b0	2892fde6-af13-4c92-8397-26691f47d149_gdc_realn_rehead.bam	c798a300538c13b7231a8eeeebcda19b	6257161156	released
8db51f3b-fa46-4df3-a526-de5db09e4094	90fca208-cdd6-4a29-85ee-f1e27fe4a536_gdc_realn_rehead.bam	fcf1d5cf8f0588ebf1f9c1da99d4250b	3820749664	released
eb15b594-3848-4b21-97ad-98511f05caef	5c57b82a-e94f-43e2-a281-f5b2c5d030c4_gdc_realn_rehead.bam	10b9259cf414ff62e2aa8952644991d0	6565292873	released

